Date,BZ=F,CC=F,CL=F,CT=F,GC=F,GF=F,HE=F,HG=F,HO=F,KC=F,KE=F,LBR=F,LE=F,NG=F,OJ=F,PA=F,PL=F,RB=F,SB=F,SI=F,ZC=F,ZL=F,ZM=F,ZO=F,ZR=F,ZS=F,ZW=F
2025-12-22,62.06999969482422,5887.0,58.0099983215332,63.61000061035156,4444.60009765625,346.5,85.3499984741211,5.4375,2.158099889755249,347.3500061035156,521.25,544.5,230.7250061035156,3.964999914169312,208.9499969482422,1793.4000244140625,2084.0,1.7422000169754028,14.989999771118164,67.90599822998047,447.0,48.54999923706055,298.6000061035156,297.75,9.84000015258789,1053.25,515.5
2025-12-23,62.380001068115234,5958.0,58.380001068115234,64.01000213623047,4482.7998046875,344.625,85.9749984741211,5.47599983215332,2.1905999183654785,346.95001220703125,528.0,545.0,228.8249969482422,4.4079999923706055,214.6999969482422,1918.5999755859373,2282.0,1.7431999444961548,15.199999809265137,70.48500061035156,447.5,48.29999923706055,301.1000061035156,293.5,9.8100004196167,1051.5,517.0
2025-12-24,62.2400016784668,5966.0,58.34999847412109,64.23999786376953,4480.60009765625,344.7250061035156,85.05000305175781,5.498499870300293,2.157599925994873,345.1499938964844,534.0,550.5,228.6999969482422,4.242000102996826,210.0500030517578,1766.300048828125,2242.39990234375,1.747099995613098,15.289999961853027,71.03099822998047,451.0,49.02999877929688,304.70001220703125,304.0,9.914999961853027,1063.25,521.75
2025-12-26,60.63999938964844,5953.0,56.7400016784668,64.48999786376953,4529.10009765625,346.17498779296875,84.5250015258789,5.766499996185303,2.1070001125335693,350.25,533.5,552.0,229.8249969482422,4.366000175476074,202.25,1984.699951171875,2467.699951171875,1.697100043296814,15.170000076293944,76.48600006103516,450.0,48.720001220703125,303.70001220703125,308.0,9.78499984741211,1058.75,519.0
2025-12-29,61.93999862670898,6242.0,58.08000183105469,64.3499984741211,4325.10009765625,347.0,84.4749984741211,5.490499973297119,2.127500057220459,352.1499938964844,527.25,541.0,228.8999938964844,4.686999797821045,206.3000030517578,1648.300048828125,2104.800048828125,1.7151999473571775,15.260000228881836,69.85600280761719,442.25,48.77999877929688,298.79998779296875,305.25,9.510000228881836,1049.5,513.0
2025-12-30,61.91999816894531,6063.0,57.95000076293945,64.31999969482422,4370.10009765625,349.54998779296875,85.44999694824219,5.727499961853027,2.150500059127808,350.20001220703125,522.0,540.0,231.1750030517578,3.971999883651733,201.8999938964844,1706.699951171875,2232.300048828125,1.7209999561309814,14.84000015258789,77.3740005493164,440.5,48.93000030517578,296.70001220703125,304.75,9.479999542236328,1046.25,510.75
2025-12-31,60.84999847412109,6065.0,57.41999816894531,64.2699966430664,4325.60009765625,350.25,85.0999984741211,5.630000114440918,2.1205999851226807,348.75,514.75,538.5,232.0,3.686000108718872,205.1999969482422,1629.199951171875,2034.5,1.705399990081787,15.010000228881836,70.13400268554688,440.25,48.06999969482422,294.5,302.5,9.595000267028809,1030.5,507.0
2026-01-02,60.75,5871.0,57.31999969482422,64.01000213623047,4314.39990234375,356.1000061035156,84.0999984741211,5.639999866485596,2.1150999069213867,357.29998779296875,515.0,533.0,236.0,3.618000030517578,201.6000061035156,1668.0,2125.699951171875,1.698199987411499,14.600000381469728,70.55599975585938,437.5,48.869998931884766,291.0,298.0,9.404999732971191,1029.5,506.5
2026-01-05,61.7599983215332,6077.0,58.31999969482422,64.6500015258789,4436.89990234375,358.9750061035156,86.1500015258789,5.924499988555908,2.142800092697144,359.3500061035156,520.75,531.5,235.875,3.5230000019073486,207.8500061035156,1742.199951171875,2269.5,1.7200000286102295,14.729999542236328,76.16400146484375,444.5,49.470001220703125,294.8999938964844,304.5,9.920000076293944,1047.25,512.5
2026-01-06,60.70000076293945,5954.0,57.130001068115234,65.05999755859375,4482.2001953125,362.1749877929688,85.67500305175781,6.010499954223633,2.0829999446868896,373.8500061035156,521.5,532.0,236.625,3.3499999046325684,217.8500061035156,1865.5999755859373,2434.0,1.700600028038025,14.760000228881836,80.52999877929688,444.0,49.0,294.70001220703125,308.0,10.06999969482422,1042.0,510.5
